placa,overall_health_score,health_degradation_rate,maintenance_risk_score,days_to_maintenance,electrical_health,operational_efficiency
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.468230314853045,0.531769685146955,1.0,7,0.4882295625060899,0.44823106720000006
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5256878012530449,0.47431219874695507,1.0,7,0.4882295625060899,0.56314604
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.445349357953045,0.554650642046955,1.0,7,0.4882295625060899,0.40246915340000006
A-05502-A,0.46760911725304494,0.532390882746955,1.0,7,0.4882295625060899,0.446988672
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.445453191993045,0.554546808006955,1.0,7,0.4882295625060899,0.40267682148000006
A-05502-A,0.445201697853045,0.554798302146955,1.0,7,0.4882295625060899,0.4021738332
A-05502-A,0.44460174217304493,0.5553982578269551,1.0,7,0.4882295625060899,0.40097392184
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.44554203805304493,0.5544579619469551,1.0,7,0.4882295625060899,0.4028545136
A-05502-A,0.444187527796445,0.555812472203555,1.0,7,0.4882295625060899,0.40014549308680003
A-05502-A,0.5408031512530449,0.4591968487469551,1.0,7,0.4882295625060899,0.59337674
A-05502-A,0.5316320012530449,0.4683679987469551,1.0,7,0.4882295625060899,0.5750344399999999
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.445148921653045,0.554851078346955,1.0,7,0.4882295625060899,0.4020682808
A-05502-A,0.44595992785304495,0.554040072146955,1.0,7,0.4882295625060899,0.40369029320000005
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.44724667925304495,0.552753320746955,1.0,7,0.4882295625060899,0.406263796
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.4454510262530449,0.5545489737469551,1.0,7,0.4882295625060899,0.40267248999999994
A-05502-A,0.44550551879304495,0.554494481206955,1.0,7,0.4882295625060899,0.40278147508
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.457110502653045,0.542889497346955,1.0,7,0.4882295625060899,0.4259914428
A-05502-A,0.45854705525304496,0.541452944746955,1.0,7,0.4882295625060899,0.42886454799999996
A-05502-A,0.44537047125304496,0.554629528746955,1.0,7,0.4882295625060899,0.40251138
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.536875221273045,0.463124778726955,1.0,7,0.4882295625060899,0.58552088004
A-05502-A,0.535063939133045,0.46493606086695505,1.0,7,0.4882295625060899,0.58189831576
A-05502-A,0.49097289545304496,0.509027104546955,1.0,7,0.4882295625060899,0.4937162284
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.44554667045304497,0.554453329546955,1.0,7,0.4882295625060899,0.4028637784
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.445459584253045,0.554540415746955,1.0,7,0.4882295625060899,0.40268960600000003
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.44631928405304494,0.553680715946955,1.0,7,0.4882295625060899,0.4044090056
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.445339862053045,0.554660137946955,1.0,7,0.4882295625060899,0.4024501616
A-05502-A,0.537456067253045,0.46254393274695504,1.0,7,0.4882295625060899,0.586682572
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.4507607553790449,0.5492392446209551,1.0,7,0.4882295625060899,0.413291948252
A-05502-A,0.5441147812530449,0.4558852187469551,1.0,7,0.4882295625060899,0.6
A-05502-A,0.44547207045304493,0.5545279295469551,1.0,7,0.4882295625060899,0.4027145784
A-05502-A,0.446550587473045,0.553449412526955,1.0,7,0.4882295625060899,0.40487161244000003
A-05502-A,0.4560928033330449,0.5439071966669551,1.0,7,0.4882295625060899,0.42395604416
A-05502-A,0.44545542251304493,0.5545445774869551,1.0,7,0.4882295625060899,0.40268128252
A-05502-A,0.6706413033503098,0.3293586966496902,1.0,7,0.4882295625060899,0.8530530441945297
A-05503-A,0.5474825818906494,0.45251741810935064,1.0,7,0.4949201361612987,0.60004502762
A-05503-A,0.5698599680806493,0.4301400319193507,1.0,7,0.4949201361612987,0.6447998
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6066281773406493,0.39337182265935067,1.0,7,0.4949201361612987,0.71833621852
A-05503-A,0.5698463580806493,0.4301536419193507,1.0,7,0.4949201361612987,0.6447725799999999
A-05503-A,0.5698172640806494,0.43018273591935063,1.0,7,0.4949201361612987,0.644714392
A-05503-A,0.5915216940806494,0.40847830591935064,1.0,7,0.4949201361612987,0.688123252
A-05503-A,0.5684327960806493,0.43156720391935066,1.0,7,0.4949201361612987,0.641945456
A-05503-A,0.5697329280806493,0.43026707191935065,1.0,7,0.4949201361612987,0.64454572
A-05503-A,0.6033274854766494,0.3966725145233506,1.0,7,0.4949201361612987,0.7117348347920001
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6008293460806493,0.3991706539193507,1.0,7,0.4949201361612987,0.706738556
A-05503-A,0.6109002880806493,0.38909971191935067,1.0,7,0.4949201361612987,0.72688044
A-05503-A,0.6007998780806494,0.3992001219193506,1.0,7,0.4949201361612987,0.70667962
A-05503-A,0.6008348740806493,0.3991651259193507,1.0,7,0.4949201361612987,0.706749612
A-05503-A,0.5684605974926493,0.4315394025073507,1.0,7,0.4949201361612987,0.642001058824
A-05503-A,0.6008987280806494,0.39910127191935063,1.0,7,0.4949201361612987,0.70687732
A-05503-A,0.6008097960806493,0.3991902039193507,1.0,7,0.4949201361612987,0.706699456
A-05503-A,0.6008111240806493,0.3991888759193507,1.0,7,0.4949201361612987,0.706702112
A-05503-A,0.6464691780806493,0.3535308219193507,1.0,7,0.4949201361612987,0.79801822
A-05503-A,0.5697651370806494,0.43023486291935065,1.0,7,0.4949201361612987,0.644610138
A-05503-A,0.5684913410766493,0.43150865892335066,1.0,7,0.4949201361612987,0.642062545992
A-05503-A,0.5696577320806494,0.4303422679193506,1.0,7,0.4949201361612987,0.6443953280000001
A-05503-A,0.6108405160806494,0.3891594839193506,1.0,7,0.4949201361612987,0.726760896
A-05503-A,0.6464957220806493,0.3535042779193507,1.0,7,0.4949201361612987,0.798071308
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6452944523606494,0.3547055476393506,1.0,7,0.4949201361612987,0.79566876856
A-05503-A,0.5697938600806494,0.43020613991935064,1.0,7,0.4949201361612987,0.644667584
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.5698050000806494,0.4301949999193506,1.0,7,0.4949201361612987,0.6446898640000001
A-05503-A,0.6326990744806493,0.3673009255193507,1.0,7,0.4949201361612987,0.7704780128
A-05503-A,0.5715769608026493,0.4284230391973507,1.0,7,0.4949201361612987,0.648233785444
A-05503-A,0.5683947540806493,0.4316052459193507,1.0,7,0.4949201361612987,0.641869372
A-05503-A,0.6108731200806494,0.3891268799193506,1.0,7,0.4949201361612987,0.726826104
A-05503-A,0.5698399240806493,0.4301600759193507,1.0,7,0.4949201361612987,0.644759712
A-05503-A,0.5698276180806494,0.4301723819193506,1.0,7,0.4949201361612987,0.6447351
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.5670212500806493,0.4329787499193507,1.0,7,0.4949201361612987,0.639122364
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6438513940806494,0.3561486059193506,1.0,7,0.4949201361612987,0.792782652
A-05503-A,0.5697841240806494,0.4302158759193506,1.0,7,0.4949201361612987,0.6446481119999999
A-05503-A,0.6007848280806494,0.39921517191935063,1.0,7,0.4949201361612987,0.70664952
A-05503-A,0.6007821360806493,0.39921786391935066,1.0,7,0.4949201361612987,0.706644136
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6231801340806493,0.3768198659193507,1.0,7,0.4949201361612987,0.751440132
A-05503-A,0.6078623500806494,0.39213764991935063,1.0,7,0.4949201361612987,0.720804564
A-05503-A,0.5683826740806494,0.43161732591935065,1.0,7,0.4949201361612987,0.641845212
A-05503-A,0.6304923940806494,0.3695076059193506,1.0,7,0.4949201361612987,0.7660646520000001
A-05503-A,0.6461089780806494,0.3538910219193506,1.0,7,0.4949201361612987,0.79729782
A-05503-A,0.5720032362806493,0.4279967637193507,1.0,7,0.4949201361612987,0.6490863364
A-05503-A,0.5696780840806493,0.43032191591935065,1.0,7,0.4949201361612987,0.644436032
A-05503-A,0.5698086640806493,0.43019133591935066,1.0,7,0.4949201361612987,0.644697192
A-05503-A,0.5683690840806493,0.43163091591935066,1.0,7,0.4949201361612987,0.641818032
A-05503-A,0.5715020654806493,0.4284979345193507,1.0,7,0.4949201361612987,0.6480839948
A-05503-A,0.5915302400806494,0.40846975991935064,1.0,7,0.4949201361612987,0.688140344
A-05503-A,0.6397142340806493,0.3602857659193507,1.0,7,0.4949201361612987,0.7845083319999999
A-05503-A,0.5696597660806494,0.4303402339193506,1.0,7,0.4949201361612987,0.6443993960000001
A-05503-A,0.5697949050806493,0.43020509491935066,1.0,7,0.4949201361612987,0.644669674
A-05503-A,0.6303925320806494,0.3696074679193506,1.0,7,0.4949201361612987,0.765864928
A-05503-A,0.5683733800806493,0.4316266199193507,1.0,7,0.4949201361612987,0.6418266239999999
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.5698048600806493,0.43019513991935066,1.0,7,0.4949201361612987,0.644689584
A-05503-A,0.5702931732506493,0.4297068267493507,1.0,7,0.4949201361612987,0.64566621034
A-05503-A,0.5698897593606493,0.43011024063935066,1.0,7,0.4949201361612987,0.64485938256
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6108632160806493,0.3891367839193507,1.0,7,0.4949201361612987,0.726806296
A-05503-A,0.5683889080806493,0.43161109191935065,1.0,7,0.4949201361612987,0.64185768
A-05503-A,0.5698710780806493,0.4301289219193507,1.0,7,0.4949201361612987,0.64482202
A-05503-A,0.5698851660806493,0.4301148339193507,1.0,7,0.4949201361612987,0.6448501959999999
A-05503-A,0.5698138440806494,0.4301861559193506,1.0,7,0.4949201361612987,0.6447075520000001
A-05503-A,0.5683809220806494,0.4316190779193506,1.0,7,0.4949201361612987,0.6418417080000001
A-05503-A,0.6227132340806494,0.3772867659193506,1.0,7,0.4949201361612987,0.7505063319999999
A-05503-A,0.5802381260806493,0.4197618739193507,1.0,7,0.4949201361612987,0.665556116
A-05503-A,0.6078838280806493,0.39211617191935066,1.0,7,0.4949201361612987,0.7208475200000001
A-05503-A,0.6009157763806494,0.3990842236193506,1.0,7,0.4949201361612987,0.7069114166
A-05503-A,0.6008049740806494,0.39919502591935063,1.0,7,0.4949201361612987,0.706689812
A-05503-A,0.6008791719326494,0.3991208280673506,1.0,7,0.4949201361612987,0.706838207704
A-05503-A,0.5698042760806493,0.4301957239193507,1.0,7,0.4949201361612987,0.6446884159999999
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6008638660806493,0.39913613391935066,1.0,7,0.4949201361612987,0.706807596
A-05503-A,0.5961442134426493,0.40385578655735066,1.0,7,0.4949201361612987,0.6973682907240001
A-05503-A,0.6007867780806493,0.3992132219193507,1.0,7,0.4949201361612987,0.70665342
A-05503-A,0.5697459740806494,0.4302540259193506,1.0,7,0.4949201361612987,0.644571812
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6108397420806494,0.3891602579193506,1.0,7,0.4949201361612987,0.7267593480000001
A-05503-A,0.5697030200806493,0.4302969799193507,1.0,7,0.4949201361612987,0.6444859039999999
A-05503-A,0.5697022580806493,0.43029774191935066,1.0,7,0.4949201361612987,0.64448438
A-05503-A,0.5697198540806494,0.4302801459193506,1.0,7,0.4949201361612987,0.644519572
A-05503-A,0.5697403520806493,0.4302596479193507,1.0,7,0.4949201361612987,0.644560568
A-05503-A,0.5684749973866493,0.4315250026133507,1.0,7,0.4949201361612987,0.6420298586119999
A-05503-A,0.5699451880806493,0.4300548119193507,1.0,7,0.4949201361612987,0.6449702399999999
A-05503-A,0.5698036202286494,0.4301963797713506,1.0,7,0.4949201361612987,0.644687104296
A-05503-A,0.5696788120806493,0.4303211879193507,1.0,7,0.4949201361612987,0.644437488
A-05503-A,0.6296915360806493,0.3703084639193507,1.0,7,0.4949201361612987,0.7644629359999999
A-05503-A,0.5922439212406494,0.4077560787593506,1.0,7,0.4949201361612987,0.68956770632
A-05503-A,0.5485234434806494,0.4514765565193506,1.0,7,0.4949201361612987,0.6021267508
A-05503-A,0.6108902180806494,0.38910978191935064,1.0,7,0.4949201361612987,0.7268603
A-05503-A,0.5683935280806494,0.43160647191935064,1.0,7,0.4949201361612987,0.64186692
A-05503-A,0.5698073580806493,0.4301926419193507,1.0,7,0.4949201361612987,0.64469458
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.5698127280806493,0.4301872719193507,1.0,7,0.4949201361612987,0.64470532
A-05503-A,0.6474600680806494,0.3525399319193506,1.0,7,0.4949201361612987,0.8
A-05503-A,0.5685120260806493,0.4314879739193507,1.0,7,0.4949201361612987,0.6421039159999999
