placa,distance_per_engine_hour,idle_time_ratio,speed_efficiency,after_hours_efficiency,harsh_driving_penalty,operational_efficiency_score,total_distance,total_engine_hours
A-05355-A,10.72241,0.0,0.0,1.0,1.0,0.44288964000000003,10.72241,1
A-05355-A,27.40989482,0.0,0.0,1.0,1.0,0.50963957928,27.40989482,1
A-05355-A,5.419157,0.0,0.0,1.0,1.0,0.421676628,5.419157,1
A-05355-A,1.0233285584999998,0.0,0.0,1.0,1.0,0.404093314234,1.0233285584999998,1
A-05355-A,16.112609721,0.0,0.0,1.0,1.0,0.46445043888399995,16.112609721,1
A-05355-A,60.587883594,0.0,0.0,1.0,1.0,0.6,60.587883594,1
A-05355-A,132.9109264672,0.0,0.0,1.0,1.0,0.6,132.9109264672,1
A-05355-A,179.584513,0.0,0.0,1.0,1.0,0.6,179.584513,1
A-05355-A,215.2108472,0.0,0.0,1.0,1.0,0.6,215.2108472,1
A-05355-A,77.0506520948,0.0,0.0,1.0,1.0,0.6,77.0506520948,1
A-05355-A,209.792955594,0.0,0.0,1.0,1.0,0.6,209.792955594,1
A-05355-A,20.307749,0.0,0.0,1.0,1.0,0.481230996,20.307749,1
A-05355-A,44.04203966668,0.0,0.0,1.0,1.0,0.57616815866672,44.04203966668,1
A-05355-A,62.51723015546,0.0,0.0,1.0,1.0,0.6,62.51723015546,1
A-05355-A,180.43955782046,0.0,0.0,1.0,1.0,0.6,180.43955782046,1
A-05355-A,102.736181025,0.0,0.0,1.0,1.0,0.6,102.736181025,1
A-05355-A,40.970428333,0.0,0.0,1.0,1.0,0.563881713332,40.970428333,1
A-05355-A,129.8121077,0.0,0.0,1.0,1.0,0.6,129.8121077,1
A-05355-A,78.723324782,0.0,0.0,1.0,1.0,0.6,78.723324782,1
A-05355-A,263.18803812997,0.0,0.0,1.0,1.0,0.6,263.18803812997,1
A-05355-A,170.189309285,0.0,0.0,1.0,1.0,0.6,170.189309285,1
A-05355-A,133.427133473,0.0,0.0,1.0,1.0,0.6,133.427133473,1
A-05355-A,83.177235895,0.0,0.0,1.0,1.0,0.6,83.177235895,1
A-05355-A,141.86749751,0.0,0.0,1.0,1.0,0.6,141.86749751,1
A-05355-A,2.2436240740000004,0.0,0.0,1.0,1.0,0.408974496296,2.2436240740000004,1
A-05355-A,155.491144021,0.0,0.0,1.0,1.0,0.6,155.491144021,1
A-05355-A,146.2953590477,0.0,0.0,1.0,1.0,0.6,146.2953590477,1
A-05355-A,6.4125314,0.0,0.0,1.0,1.0,0.4256501256,6.4125314,1
